nombre|carrera|plan|materia|nombre_materia|anio_de_cursada|periodo_dictado|obligatoria
Licenciatura en Ciencias Físicas|204|2003|0073|Laboratorio I|4|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|2003|3092|Física Atómica|4|1er Cuatrimestre|N
Licenciatura en Ciencias Físicas|204|2003|0072|Física Cuántica|4|2do Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|2003|0074|Laboratorio II|4|2do Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|2003|0075|Física Estadística|5|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|2003|0076|Mecánica del Continuo|5|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|2003|0201|Trabajo Especial de Licenciatura Fisica|5|Anual|S
Licenciatura en Ciencias Físicas|204|2003|0015|Probabilidades y Estadística|||N
Licenciatura en Ciencias Físicas|204|2003|0080|Química Orgánica y Biológica|||N
Licenciatura en Ciencias Físicas|204|2003|0092|Química Ambiental|||N
Licenciatura en Ciencias Físicas|204|2003|0101|Optica y Fotofísica|||N
Licenciatura en Ciencias Físicas|204|2003|0151|Química General e Inorgánica|||N
Licenciatura en Ciencias Físicas|204|2003|3001|Introducción a la Biofísica|||N
Licenciatura en Ciencias Físicas|204|2003|3002|Temas de Electrónica y Optica Cuánticas|||N
Licenciatura en Ciencias Físicas|204|2003|3003|Introducción a la Geofísica de Prospección|||N
Licenciatura en Ciencias Físicas|204|2003|3004|Física Nuclear|||N
Licenciatura en Ciencias Físicas|204|2003|3005|Fundamentos de Física del Estado Sólido|||N
Licenciatura en Ciencias Físicas|204|2003|3006|Espectroscopía Molecular|||N
